Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.09, AvgRadius: 8.31, MaxRadius: 9.78, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.85, AvgRadius: 8.31, MaxRadius: 9.24, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 3.95, AvgRadius: 8.26, MaxRadius: 9.08, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 11.56, AvgRadius: 8.25, MaxRadius: 8.68, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.79, AvgRadius: 9.87, MaxRadius: 10.27, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.17, AvgRadius: 9.88, MaxRadius: 10.19, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.57, AvgRadius: 9.96, MaxRadius: 10.42, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.65, AvgRadius: 9.84, MaxRadius: 10.18, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.14, AvgRadius: 9.85, MaxRadius: 10.26, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.42, AvgRadius: 9.88, MaxRadius: 10.18, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.60, AvgRadius: 9.95, MaxRadius: 10.37, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.62, AvgRadius: 9.89, MaxRadius: 10.16, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.70, AvgRadius: 9.90, MaxRadius: 10.21, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.11, AvgRadius: 9.89, MaxRadius: 10.33, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.47, AvgRadius: 9.89, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.54, AvgRadius: 9.89, MaxRadius: 10.22, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.88, AvgRadius: 9.90, MaxRadius: 10.28, ViolationRate: 0.0%
